"# fixed-time controller, seconds"
# cycle,100,left turns,protected
phase,movements,split,green_interval,yellow,all_red,effective_green
1  NS left (protected),NBL SBL,14.5,9.5,3.5,1.5,10.5
2  NS through,NBT NBR SBT SBR,35.8,30.8,3.5,1.5,31.8
3  EW left (protected),EBL WBL,19.8,14.8,3.5,1.5,15.8
4  EW through,EBT EBR WBT WBR,29.9,24.9,3.5,1.5,25.9
total,,100.0
