"# fixed-time controller, seconds"
# cycle,130,left turns,prot-perm
phase,movements,split,green_interval,yellow,all_red,effective_green
1  NS left (protected),NBL SBL,18.2,13.2,3.5,1.5,14.2
2  NS through,NBT NBR SBT SBR,47.1,42.1,3.5,1.5,43.1
3  EW left (protected),EBL WBL,25.5,20.5,3.5,1.5,21.5
4  EW through,EBT EBR WBT WBR,39.2,34.2,3.5,1.5,35.2
total,,130.0
